Index,Title,Year,Bond_actor,Director,made_Actual_millions,made_Adjusted_2005,costed_Actual_millions,costed_Adjusted_2005
1,Dr. No,1962,Sean Connery,Terence Young,59.5,448.8,1.1,7
2,From Russia with Love,1963,Sean Connery,Terence Young,78.9,543.8,2,12.6
3,Goldfinger,1964,Sean Connery,Guy Hamilton,124.9,820.4,3,18.6
4,Thunderball,1965,Sean Connery,Terence Young,141.2,848.1,6.8,41.9
5,You Only Live Twice,1967,Sean Connery,Lewis Gilbert,111.6,514.2,10.3,59.9
6,On Her Majesty's Secret Service,1969,George Lazenby,Peter R. Hunt,64.6,291.5,7,37.3
7,Diamonds Are Forever,1971,Sean Connery,Guy Hamilton,116,442.5,7.2,34.7
8,Live and Let Die,1973,Roger Moore,Guy Hamilton,126.4,460.3,7,30.8
9,The Man with the Golden Gun,1974,Roger Moore,Guy Hamilton,97.6,334,7,27.7
10,The Spy Who Loved Me,1977,Roger Moore,Lewis Gilbert,185.4,533,14,45.1
11,Moonraker,1979,Roger Moore,Lewis Gilbert,210.3,535,34,91.5
12,For Your Eyes Only,1981,Roger Moore,John Glen,194.9,449.4,28,60.2
13,Octopussy,1983,Roger Moore,John Glen,183.7,373.8,27.5,53.9
14,A View to a Kill,1985,Roger Moore,John Glen,152.4,275.2,30,54.5
15,The Living Daylights,1987,Timothy Dalton,John Glen,191.2,313.5,40,68.8
16,Licence to Kill,1989,Timothy Dalton,John Glen,156.2,250.9,36,56.7
17,GoldenEye,1995,Pierce Brosnan,Martin Campbell,352,518.5,60,76.9
18,Tomorrow Never Dies,1997,Pierce Brosnan,Roger Spottiswoode,333,463.2,110,133.9
19,The World Is Not Enough,1999,Pierce Brosnan,Michael Apted,361.8,439.5,135,158.3
20,Die Another Day,2002,Pierce Brosnan,Lee Tamahori,432,465.4,142,154.2
21,Casino Royale,2006,Daniel Craig,Martin Campbell,606,589.4,150,145.3
22,Quantum of Solace,2008,Daniel Craig,Marc Forster,586.1,514.2,200,181.4
23,Skyfall,2012,Daniel Craig,Sam Mendes,1108.6,943.5,175,149
24,Spectre,2015,Daniel Craig,Sam Mendes,880.7,725.5,248,204
25,No Time to Die,2021,Daniel Craig,Cary Joji Fukunaga,771.2,582,276,208
