RFC Accuracy,KNC Accuracy, Sigma
0.7222222222222222,0.6666666666666666, 1
0.8085106382978723,0.7446808510638298, 2
0.773109243697479,0.7394957983193278, 2.5
0.8114754098360656,0.7377049180327869, 3
0.7954545454545454,0.7954545454545454, 3.5
0.8055555555555556,0.7708333333333334, 4
0.7394366197183099,0.7183098591549296, 4.5
0.7569444444444444,0.7222222222222222, 5
0.7608695652173914,0.7391304347826086, 5.5
0.8195488721804511,0.7819548872180451, 6
0.7518248175182481,0.6861313868613139, 6.5
0.6666666666666666,0.6511627906976745, 7
0.7686567164179104,0.746268656716418, 7.5
0.7348484848484849,0.7121212121212122, 8
0.706766917293233,0.706766917293233, 8.5
0.664,0.672, 9
0.6515151515151515,0.6287878787878788, 9.5
0.6384615384615384,0.6153846153846154, 10
0.7131782945736435,0.7209302325581395, 10.5
0.7154471544715447,0.7073170731707317, 11
