RFC Accuracy,KNC Accuracy,network_size,learning_rate,sigma
0.5,0.375,5.0,0.7,2.0
0.625,0.5,5.0,0.7,3.0
0.375,0.375,5.0,0.7,4.0
0.5,0.875,5.0,0.7,5.0
0.625,0.75,5.0,0.7,6.0
0.5,0.375,5.0,0.8,2.0
0.5,0.5,5.0,0.8,3.0
0.5,0.5,5.0,0.8,4.0
0.625,0.625,5.0,0.8,5.0
0.7142857142857143,0.5714285714285714,5.0,0.8,6.0
0.5,0.125,5.0,0.9,2.0
0.5,0.25,5.0,0.9,3.0
0.75,0.625,5.0,0.9,4.0
0.75,0.625,5.0,0.9,5.0
0.875,0.75,5.0,0.9,6.0
0.25,0.125,5.0,1.0,2.0
0.5,0.625,5.0,1.0,3.0
0.375,0.5,5.0,1.0,4.0
0.75,0.625,5.0,1.0,5.0
0.75,0.75,5.0,1.0,6.0
0.6785714285714286,0.6428571428571429,10.0,0.7,2.0
0.5517241379310345,0.6551724137931034,10.0,0.7,3.0
0.7241379310344828,0.6896551724137931,10.0,0.7,4.0
0.5925925925925926,0.5185185185185185,10.0,0.7,5.0
0.5925925925925926,0.7037037037037037,10.0,0.7,6.0
0.5862068965517241,0.6551724137931034,10.0,0.8,2.0
0.6206896551724138,0.6551724137931034,10.0,0.8,3.0
0.6896551724137931,0.5862068965517241,10.0,0.8,4.0
0.5714285714285714,0.5714285714285714,10.0,0.8,5.0
0.5357142857142857,0.6785714285714286,10.0,0.8,6.0
0.6333333333333333,0.6,10.0,0.9,2.0
0.43333333333333335,0.5666666666666667,10.0,0.9,3.0
0.6666666666666666,0.6,10.0,0.9,4.0
0.6071428571428571,0.6428571428571429,10.0,0.9,5.0
0.4230769230769231,0.5384615384615384,10.0,0.9,6.0
0.5517241379310345,0.5862068965517241,10.0,1.0,2.0
0.6551724137931034,0.6896551724137931,10.0,1.0,3.0
0.5517241379310345,0.41379310344827586,10.0,1.0,4.0
0.6785714285714286,0.6071428571428571,10.0,1.0,5.0
0.5925925925925926,0.6666666666666666,10.0,1.0,6.0
0.639344262295082,0.6557377049180327,15.0,0.7,2.0
0.7580645161290323,0.6451612903225806,15.0,0.7,3.0
0.6909090909090909,0.6363636363636364,15.0,0.7,4.0
0.6206896551724138,0.5862068965517241,15.0,0.7,5.0
0.6842105263157895,0.5789473684210527,15.0,0.7,6.0
0.7936507936507936,0.7142857142857143,15.0,0.8,2.0
0.7,0.7,15.0,0.8,3.0
0.6206896551724138,0.5862068965517241,15.0,0.8,4.0
0.5862068965517241,0.5862068965517241,15.0,0.8,5.0
0.6140350877192983,0.6140350877192983,15.0,0.8,6.0
0.7777777777777778,0.6984126984126984,15.0,0.9,2.0
0.7,0.7,15.0,0.9,3.0
0.631578947368421,0.5789473684210527,15.0,0.9,4.0
0.65,0.7,15.0,0.9,5.0
0.576271186440678,0.559322033898305,15.0,0.9,6.0
0.7166666666666667,0.7166666666666667,15.0,1.0,2.0
0.7796610169491526,0.6949152542372882,15.0,1.0,3.0
0.7,0.75,15.0,1.0,4.0
0.6166666666666667,0.6166666666666667,15.0,1.0,5.0
0.6964285714285714,0.6964285714285714,15.0,1.0,6.0
0.7701149425287356,0.7586206896551724,20.0,0.7,2.0
0.723404255319149,0.7021276595744681,20.0,0.7,3.0
0.6741573033707865,0.6966292134831461,20.0,0.7,4.0
0.6847826086956522,0.717391304347826,20.0,0.7,5.0
0.7,0.7375,20.0,0.7,6.0
0.7319587628865979,0.7422680412371134,20.0,0.8,2.0
0.8315789473684211,0.7684210526315789,20.0,0.8,3.0
0.7333333333333333,0.7555555555555555,20.0,0.8,4.0
0.7391304347826086,0.7282608695652174,20.0,0.8,5.0
0.7195121951219512,0.7195121951219512,20.0,0.8,6.0
0.7849462365591398,0.7096774193548387,20.0,0.9,2.0
0.8,0.7578947368421053,20.0,0.9,3.0
0.7419354838709677,0.6559139784946236,20.0,0.9,4.0
0.7362637362637363,0.7142857142857143,20.0,0.9,5.0
0.6428571428571429,0.6428571428571429,20.0,0.9,6.0
0.7252747252747253,0.6813186813186813,20.0,1.0,2.0
0.8085106382978723,0.7446808510638298,20.0,1.0,3.0
0.7362637362637363,0.6813186813186813,20.0,1.0,4.0
0.6707317073170732,0.7073170731707317,20.0,1.0,5.0
0.6966292134831461,0.6966292134831461,20.0,1.0,6.0
0.8163265306122449,0.7448979591836735,25.0,0.7,2.0
0.752,0.736,25.0,0.7,3.0
0.744,0.72,25.0,0.7,4.0
0.725,0.7083333333333334,25.0,0.7,5.0
0.6885245901639344,0.680327868852459,25.0,0.7,6.0
0.839622641509434,0.7735849056603774,25.0,0.8,2.0
0.7317073170731707,0.7073170731707317,25.0,0.8,3.0
0.819672131147541,0.819672131147541,25.0,0.8,4.0
0.8,0.7333333333333333,25.0,0.8,5.0
0.7350427350427351,0.7008547008547008,25.0,0.8,6.0
0.8,0.7619047619047619,25.0,0.9,2.0
0.824,0.776,25.0,0.9,3.0
0.8135593220338984,0.6779661016949152,25.0,0.9,4.0
0.711864406779661,0.6949152542372882,25.0,0.9,5.0
0.7207207207207207,0.7387387387387387,25.0,0.9,6.0
0.8148148148148148,0.7870370370370371,25.0,1.0,2.0
0.808,0.776,25.0,1.0,3.0
0.7886178861788617,0.7560975609756098,25.0,1.0,4.0
0.7586206896551724,0.7844827586206896,25.0,1.0,5.0
0.8288288288288288,0.7747747747747747,25.0,1.0,6.0
